,news_id,year,month,day
0,story_reviews_00000,2018.0,12.0,16.0
1,story_reviews_00001,2018.0,12.0,17.0
2,story_reviews_00002,,,
3,story_reviews_00003,2018.0,12.0,13.0
4,story_reviews_00004,,,
5,story_reviews_00005,2018.0,12.0,3.0
6,story_reviews_00006,,,
7,story_reviews_00007,2018.0,11.0,27.0
8,story_reviews_00008,2018.0,11.0,24.0
9,story_reviews_00009,2018.0,11.0,18.0
10,story_reviews_00010,,,
11,story_reviews_00011,2018.0,11.0,16.0
12,story_reviews_00012,2018.0,11.0,14.0
13,story_reviews_00013,2018.0,11.0,12.0
14,story_reviews_00014,,,
15,story_reviews_00015,2018.0,10.0,31.0
16,story_reviews_00016,,,
17,story_reviews_00017,2018.0,10.0,24.0
18,story_reviews_00018,2018.0,10.0,20.0
19,story_reviews_00019,,,
20,story_reviews_00020,,,
21,story_reviews_00021,2018.0,10.0,15.0
22,story_reviews_00022,2018.0,10.0,9.0
23,story_reviews_00023,2018.0,10.0,9.0
24,story_reviews_00025,,,
25,story_reviews_00026,2018.0,9.0,28.0
26,story_reviews_00027,2018.0,9.0,26.0
27,story_reviews_00028,2018.0,9.0,24.0
28,story_reviews_00029,2018.0,9.0,23.0
29,story_reviews_00030,2018.0,9.0,18.0
30,story_reviews_00031,2018.0,9.0,14.0
31,story_reviews_00032,2018.0,9.0,11.0
32,story_reviews_00033,2018.0,9.0,11.0
33,story_reviews_00034,,,
34,story_reviews_00035,2018.0,9.0,2.0
35,story_reviews_00036,2018.0,8.0,29.0
36,story_reviews_00037,,,
37,story_reviews_00038,,,
38,story_reviews_00039,2018.0,8.0,22.0
39,story_reviews_00040,,,
40,story_reviews_00041,2018.0,8.0,14.0
41,story_reviews_00042,,,
42,story_reviews_00043,2018.0,8.0,8.0
43,story_reviews_00044,,,
44,story_reviews_00045,2018.0,8.0,2.0
45,story_reviews_00046,,,
46,story_reviews_00047,2018.0,7.0,24.0
47,story_reviews_00048,,,
48,story_reviews_00049,2018.0,7.0,17.0
49,story_reviews_00050,2018.0,7.0,16.0
50,story_reviews_00051,2018.0,7.0,11.0
51,story_reviews_00052,2018.0,7.0,11.0
52,story_reviews_00053,,,
53,story_reviews_00054,2018.0,7.0,5.0
54,story_reviews_00055,2018.0,6.0,27.0
55,story_reviews_00056,2018.0,6.0,26.0
56,story_reviews_00057,2018.0,6.0,27.0
57,story_reviews_00058,2018.0,6.0,25.0
58,story_reviews_00059,2018.0,6.0,21.0
59,story_reviews_00060,,,
60,story_reviews_00061,2018.0,6.0,19.0
61,story_reviews_00062,2018.0,6.0,12.0
62,story_reviews_00063,,,
63,story_reviews_00064,2018.0,6.0,5.0
64,story_reviews_00065,2018.0,6.0,4.0
65,story_reviews_00066,2018.0,6.0,1.0
66,story_reviews_00067,2018.0,5.0,26.0
67,story_reviews_00068,,,
68,story_reviews_00069,2018.0,5.0,16.0
69,story_reviews_00070,2018.0,5.0,18.0
70,story_reviews_00071,2018.0,5.0,16.0
71,story_reviews_00072,2018.0,5.0,12.0
72,story_reviews_00073,2018.0,5.0,9.0
73,story_reviews_00074,,,
74,story_reviews_00075,,,
