,word,log_odds_ratio
0,earlier,-0.1334941545279273
1,note,-0.34790717186110137
2,controls,-0.11364329565311597
3,cortex,0.4946561302241976
4,time,-0.08465654754117982
5,show,-0.03564035626913377
6,chan,-0.5909539728437831
7,associated,-0.102481611773065
8,cambridge,0.16444600343216775
9,loss,-0.07104438041009603
10,studies,-0.27311577100505546
11,work,-0.22986826393411636
12,trials,-0.2465357412717287
13,already,-0.19780363487989286
14,plan,-0.2587116074898057
15,tasks,-0.02228933072967742
16,must,-0.15341144476538635
17,higher,-0.24386391546434827
18,spread,-0.02943001952666788
19,believe,-0.009230510162883813
20,instance,-0.170250902097098
21,research,-0.08844292929047924
22,computer,0.30751127460332195
23,disease,-0.13061736254876616
24,identifying,0.006080689818888517
25,aim,0.1377556044460038
26,later,-0.1449702998434548
27,far,-0.14289038134496482
28,thought,-0.15917404793045692
29,asked,-0.14434009584933427
30,drugs,-0.18615382057948
31,family,0.011905830448266453
32,use,-0.13805554051012983
33,widespread,-0.2716130334432269
34,considerable,0.04426378493721116
35,colleagues,-0.11852717424923387
36,new,-0.08409589639271328
37,around,0.06337963070683772
38,got,-0.1847098744531489
39,skills,0.08510976969416885
40,significance,0.11193139545015116
41,condition,0.027822558216475276
42,worse,-0.10248476377094505
43,network,-0.08472755856463306
44,acts,0.13542360658989416
45,level,0.05435213627959888
46,affected,0.1652582058614717
47,may,-0.1313106272348557
48,onset,-0.24568666898256636
49,would,-0.1978557736905295
50,see,-0.1368677621739683
51,puts,-0.13503906351262576
52,likely,-0.09177079072135658
53,life,-0.03475140484354358
54,recently,-0.21087975737116849
55,recruited,0.16715136295454003
56,administer,-0.17459459703979294
57,damage,0.04524745587856289
58,said,0.023262955958704704
59,people,-0.1210644408377936
60,society,-0.10491244900845902
61,dementia,0.14409152267674677
62,get,-0.1867781050216897
63,however,-0.29835203938985927
64,effective,-0.17316752639603966
65,come,-0.2973018020538863
66,prevent,-0.16761602816974133
67,occurred,-0.3263983952793946
68,treatments,-0.06432651369841616
69,first,-0.04853147035901539
70,ago,-0.043345855983053405
71,increasingly,0.014364399292960999
72,pinpoint,0.11214353836787065
73,one,-0.23036535055180687
74,find,-0.1258057144295143
75,based,-0.24184363905464454
76,brain,-0.05594814617726637
77,degeneration,0.02673917314893493
78,project,0.021065377477913403
79,focusing,0.0015538280686216335
80,devices,0.0036583203759265577
81,risk,-0.18064618728434154
82,potential,-0.09346492220561826
83,widely,-0.3162527286546396
84,region,-0.020093978232335385
85,symptoms,0.026077792564184493
86,aged,-0.021025568820344502
87,detect,0.1800574462732827
88,beyond,-0.418766336987957
89,part,-0.13966558559348788
90,details,-0.37519688153347786
91,aimed,-0.3183067393291773
92,towards,-0.014356204670914313
93,term,-0.12752242249029683
94,participants,-0.09759348229904147
95,treating,-0.21791864928686033
96,way,-0.10739579788031606
97,history,-0.05088618502836834
98,lose,-0.18693949970609988
99,several,-0.1846798718027054
100,navigate,0.2371655077004621
101,changes,-0.06870851024976012
102,found,-0.03760460275806345
103,usually,-0.17958135975455208
104,long,-0.2120889123272002
105,present,-0.025232523945363666
106,used,0.014752654991238259
107,memory,0.02592257569122321
108,university,-0.2267501113487569
109,researchers,-0.059370185193208413
110,target,0.1126974341159394
111,patients,-0.029670131430539964
112,years,-0.1681930046539088
113,alzheimer,0.017846392875989277
114,problems,-0.08836419414463098
115,appears,-0.050270019839092794
116,dennis,-0.06648005720320571
117,remember,0.16715136295454003
118,reality,-0.22465972695018482
119,develop,0.0703467272625376
120,simple,0.05750245869888808
121,images,0.13801753629455005
122,easier,0.07777858516858185
123,told,-0.056717661792832684
124,unexpected,0.26551750039068284
125,whose,-0.1472383743364864
126,sets,0.2387380681935704
127,difficulty,0.07772632179945042
128,different,-0.10879567812415634
129,hope,0.05679870343622227
130,funded,-0.23497290544144964
131,slowing,-0.21909177572152963
132,function,0.033960149218377325
133,drug,-0.15438292158673012
134,tiny,-0.04287784463916262
135,developing,-0.04638000758613636
136,particular,-0.3145107227312746
137,series,0.14849195092454862
138,study,-0.0844746992113439
139,gene,0.017846392875989277
140,make,-0.16528399577946498
141,uk,0.2318151282523946
142,scientists,-0.014408135774695185
143,ones,-0.17725592751836305
144,known,-0.08440927370927614
145,aware,-0.09570726484778765
146,discovery,0.20800552244206694
147,area,0.04745923439814676
148,much,-0.16943190464021543
149,explained,-0.10612955808243643
150,date,-0.271329582873622
151,virtual,0.1578369151913536
152,help,-0.022555655485256197
153,tablet,-0.13368741050259395
154,goal,0.10423834728314141
155,applied,-0.1216539128050162
156,leader,-0.18242178130097353
157,tests,0.07471096370795517
158,wearing,-0.192920053840782
159,made,-0.21977000803282362
160,day,-0.14016714770900074
161,take,-0.1924933562638194
162,neuroscientist,-0.2890009279866233
163,beginning,-0.08187246756050877
164,become,-0.04803711607212568
165,earliest,0.2557052130254221
166,aims,-0.192920053840782
167,stage,0.0462047767105008
168,test,0.016570857911837114
169,possible,-0.20835703559917945
170,bringing,-0.31826710298462485
171,avoiding,-0.2534202021673592
172,bleeding,-0.2745102002117297
173,side,-0.2813390515017012
174,common,-0.05398475158505293
175,next,-0.1162672717192258
176,creating,-0.1549261674761707
177,answers,-0.3350302558381214
178,highly,-0.1259195115000256
179,peak,0.2093485070944131
180,january,0.0002738300733235931
181,reuters,0.09535926732660754
182,expects,0.17229827003854223
183,pathogens,-0.2428840708502892
184,product,-0.32492830822551017
185,close,-0.0325093895412212
186,method,0.048775225566536906
187,pregnancies,-0.5153511529971166
188,application,-0.028119494732751427
189,diseases,-0.01723930233428576
190,finally,-0.13312973422597293
191,marketing,-0.19609281980601478
192,inc,-0.029989096570498575
193,rate,-0.10867096451566007
194,two,-0.1686240916393616
195,sales,-0.11449128651082877
196,showed,-0.003754525603558905
197,within,-0.08735994498564467
198,nausea,-0.3692884258173796
199,evaluated,-0.4062694145355116
200,analyst,-0.5471591213274175
201,environment,0.014118600291563128
202,ph,-0.2595531367518531
203,healthy,-0.007234464718542744
204,certain,-0.09254603514923375
205,contraceptive,-0.4040241676676859
206,late,-0.02909300807120818
207,united,-0.10551018476997392
208,viral,0.11235649144785868
209,million,-0.03516819205834273
210,quarter,-0.1416995532299267
211,capital,-0.7688465388447328
212,avoid,-0.002565909007068212
213,age,-0.12247541552682692
214,hormone,-0.11034917056343875
215,sperm,-0.21909177572152963
216,world,-0.05417647821077147
217,contraception,-0.2890009279866233
218,lead,-0.11979338822598373
219,novel,0.12824416511180828
220,women,-0.07640440388606765
221,controlled,-0.10425540942209849
222,pills,-0.29467502716655675
223,desire,0.04426378493721116
224,shares,0.21114250945467047
225,year,-0.16069106879742687
226,testing,-0.07482893850793344
227,effectiveness,-0.07575042858914452
228,market,-0.15735132870038743
229,periods,-0.031554357452475174
230,billion,-0.21325879642791268
231,approval,-0.04836658827703363
232,control,-0.1267986729924238
233,launch,-0.10114216714211134
234,percent,-0.07496225036647931
235,mood,-0.008871762619641014
236,preventive,-0.21272324274513887
237,transmitted,-0.21909177572152963
238,infections,-0.17725592751836305
239,gel,-0.09456239121929741
240,efficacy,-0.1993735476314632
241,treatment,-0.03780761599687283
242,swings,0.7187307018483391
243,results,-0.1962324000374091
244,partners,0.1377556044460038
245,bacterial,0.1798111488808106
246,hormones,0.02276938753776374
247,serious,-0.2696612389096655
248,also,-0.1270530997180108
249,plans,-0.08260090530576211
250,birth,-0.16678282682483245
251,sending,0.20361570104111304
252,cause,-0.05010012559967718
253,male,-0.20729030803210843
254,hormonal,-0.3739196905284072
255,second,-0.06133233001732035
256,effects,-0.22769231767926099
257,bring,-0.15141029609377882
258,works,-0.10013898313825492
259,company,-0.14312775891795315
260,states,-0.1375596791965006
261,range,-0.15425225354150046
262,normal,-0.04492412976402475
263,woman,-0.11868978733129848
264,regulating,-0.4952833772609403
265,non,0.050443162813241564
266,vaginal,-0.17459459703979294
267,approved,-0.13069373078822286
268,free,-0.22377160335185906
